_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6a6da9d6658c7ce391f07a6d,false,59.96,98.72,62.36,69.23,75;1;0;0,time,15,-1,3,15.01,0,17.5,false,false,english,,normal,false,false,false,,1785571798000
6a6da85f658c7ce391f06fcb,false,50.37,95.77,55.96,62.64,63;2;0;1,time,15,-1,3,15.01,0,17.21,false,false,english,,normal,false,false,false,,1785571423000
6a6da838658c7ce391f06eb5,false,41.6,91.53,41.6,61.22,52;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1785571384000
6a6da827658c7ce391f06e40,false,39.97,96.77,49.57,65.94,50;2;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1785571367000
6a6da817658c7ce391f06dbe,false,43.17,94.92,43.17,45.69,54;0;0;0,time,15,-1,0,15.01,1,0,false,false,english,,normal,false,false,false,,1785571351000
6a6da806658c7ce391f06d5e,false,35.18,90.38,38.37,59.41,44;1;0;0,time,15,-1,1,15.01,0,1.05,false,false,english,,normal,false,false,false,,1785571334000
6a6da7f3658c7ce391f06cb9,false,45.57,91.04,52.76,64.5,57;4;1;0,time,15,-1,15,15.01,0,66.93,false,false,english,,normal,false,false,false,,1785571315000
6a6caa78658c7ce391e96169,false,50.3,95.97,52.6,59.42,503;5;2;2,time,120,-1,0,120.01,3,0,false,false,english,,normal,false,false,false,,1785506424000
