_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6a6fbca5658c7ce391ff341a,false,58.4,96.05,58.4,67.4,73;0;0;0,time,15,-1,7,15,0,21.6,false,false,english,,normal,false,false,false,,1785707685000
6a6fbc78658c7ce391ff333e,false,64.76,96.43,64.76,65.63,81;0;0;0,time,15,-1,8,15.01,0,42.36,false,false,english,,normal,false,false,false,,1785707640000
6a6fbc35658c7ce391ff3205,false,59.12,96.1,59.12,70.79,74;0;0;0,time,15,-1,3,15.02,0,14.63,false,false,english,,normal,false,false,false,,1785707573000
6a6fbc13658c7ce391ff315a,false,51.17,95.52,51.17,56.88,64;0;0;0,time,15,-1,2,15.01,0,7.86,false,false,english,,normal,false,false,false,,1785707539000
6a6fbbf9658c7ce391ff30e3,false,52,95.65,52,74.7,65;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1785707513000
6a6fbbe9658c7ce391ff307f,false,53.56,94.37,53.56,66.86,67;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1785707497000
6a6fbbd8658c7ce391ff3022,false,60.8,97.44,60.8,75.5,76;0;0;0,time,15,-1,1,15,0,9.67,false,false,english,,normal,false,false,false,,1785707480000
6a6fb981658c7ce391ff24d8,false,50.37,91.67,53.56,70.34,63;1;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1785706881000
6a6fb970658c7ce391ff246c,false,61.52,97.47,61.52,67.14,77;0;0;0,time,15,-1,3,15.02,0,3.34,false,false,english,,normal,false,false,false,,1785706864000
6a6fb959658c7ce391ff2405,false,44.8,92.06,44.8,49.27,56;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1785706841000
6a6fb947658c7ce391ff23ab,false,35.18,87.93,39.17,43.69,44;1;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1785706823000
6a6fb936658c7ce391ff2351,false,47.17,96.77,47.17,54.27,59;0;0;0,time,15,-1,3,15.01,0,11.35,false,false,english,,normal,false,false,false,,1785706806000
6a6fb7a2658c7ce391ff1bec,false,55.2,92.11,56.8,60.9,69;1;0;0,time,15,-1,1,15,0,9.34,false,false,english,,normal,false,false,false,,1785706402000
6a6fb782658c7ce391ff1b45,false,56.76,96.05,56.76,71.66,71;0;0;0,time,15,-1,1,15.01,0,0.71,false,false,english,,normal,false,false,false,,1785706370000
6a6fb770658c7ce391ff1af2,false,50.3,92,54.29,51.64,63;1;1;0,time,15,-1,1,15.03,0,11.38,false,false,english,,normal,false,false,false,,1785706352000
6a6fb753658c7ce391ff1a42,false,55.16,93.24,55.16,72.84,69;0;0;0,time,15,-1,5,15.01,0,18.18,false,false,english,,normal,false,false,false,,1785706323000
6a6fb72b658c7ce391ff195e,false,56.76,94.87,59.16,68.44,71;2;1;0,time,15,-1,1,15.01,0,1.18,false,false,english,,normal,false,false,false,,1785706283000
6a6fb717658c7ce391ff1900,false,59.12,98.67,59.12,73.87,74;0;0;0,time,15,-1,3,15.02,0,11.79,false,false,english,,normal,false,false,false,,1785706263000
6a6fb6f4658c7ce391ff1839,false,48.77,85.92,48.77,65.97,61;0;0;0,time,15,-1,1,15.01,0,2.8,false,false,english,,normal,false,false,false,,1785706228000
6a6fb6e0658c7ce391ff17b5,false,51.97,93.51,58.36,63.83,65;2;0;0,time,15,-1,8,15.01,0,12.13,false,false,english,,normal,false,false,false,,1785706208000
6a6fb6b9658c7ce391ff16de,false,65.51,94.25,65.51,69.68,82;0;0;0,time,15,-1,0,15.02,0,0,false,false,english,,normal,false,false,false,,1785706169000
6a6fb6a8658c7ce391ff167b,false,59.16,96.1,59.16,74.49,74;0;0;0,time,15,-1,10,15.01,0,49.79,false,false,english,,normal,false,false,false,,1785706152000
6a6fb65c658c7ce391ff14e5,false,54.4,93.24,54.4,61.94,68;0;0;0,time,15,-1,3,15,0,10.47,false,false,english,,normal,false,false,false,,1785706076000
6a6fb63d658c7ce391ff1444,false,61.52,96.34,63.91,70.99,77;2;0;0,time,15,-1,0,15.02,0,0,false,false,english,,normal,false,false,false,,1785706045000
6a6fb622658c7ce391ff13a3,false,34.4,87.93,34.4,48.52,43;0;0;0,time,15,-1,10,15,0,40.56,false,false,english,,normal,false,false,false,,1785706018000
6a6fb5db658c7ce391ff122a,false,67.16,97.67,67.16,78.43,84;0;0;0,time,15,-1,1,15.01,0,1.33,false,false,english,,normal,false,false,false,,1785705947000
6a6fb5c8658c7ce391ff11c9,false,60,97.4,60,66.74,75;0;0;0,time,15,-1,1,15,0,4.97,false,false,english,,normal,false,false,false,,1785705928000
6a6fb5a9658c7ce391ff1139,false,55.16,91.14,59.16,61.8,69;2;0;0,time,15,-1,2,15.01,0,11.29,false,false,english,,normal,false,false,false,,1785705897000
6a6fb58b658c7ce391ff1093,false,63.2,98.75,63.2,67.41,79;0;0;0,time,15,-1,1,15,0,2.01,false,false,english,,normal,false,false,false,,1785705867000
6a6fb577658c7ce391ff1022,false,54.4,97.14,54.4,61.95,68;0;0;0,time,15,-1,1,15,1,3.81,false,false,english,,normal,false,false,false,,1785705847000
6a6fb561658c7ce391ff0fb0,false,52.8,95.77,52.8,72.76,66;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1785705825000
6a6fb54c658c7ce391ff0f46,false,39.17,90,43.17,44.69,49;1;1;0,time,15,-1,1,15.01,1,1.28,false,false,english,,normal,false,false,false,,1785705804000
6a6fb539658c7ce391ff0edb,false,39.97,92.59,39.97,65.17,50;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1785705785000
6a6fb51a658c7ce391ff0e2e,false,52.73,91.89,52.73,57.22,66;0;0;0,time,15,-1,1,15.02,0,2.31,false,false,english,,normal,false,false,false,,1785705754000
6a6fb506658c7ce391ff0db7,false,47.2,96.72,47.2,69.6,59;0;0;0,time,15,-1,1,15,0,4.64,false,false,english,,normal,false,false,false,,1785705734000
6a6fb4ef658c7ce391ff0d50,false,39.97,92.59,39.97,58.46,50;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1785705711000
6a6fb4d9658c7ce391ff0cd7,false,55.16,97.22,55.16,61.83,69;0;0;0,time,15,-1,3,15.01,0,46.96,false,false,english,,normal,false,false,false,,1785705689000
6a6f0afb658c7ce391f9bcf7,true,42.1,100,42.1,50.98,91;0;0;0,zen,zen,-1,1,25.94,0,7.64,false,false,english,,normal,false,false,false,,1785662203000
6a6f0a4a658c7ce391f9b7cf,false,44.74,95,44.74,52.64,56;0;0;0,time,15,-1,0,15.02,1,0,false,false,english,,normal,false,false,false,,1785662026000
6a6f0692658c7ce391f99b1b,false,48,90,63.2,71.23,60;6;3;0,time,15,-1,7,15,0,43.02,false,false,english,,normal,false,false,false,,1785661074000
6a6f05a8658c7ce391f993b6,false,61.44,100,61.44,54.03,77;0;0;0,time,15,-1,1,15.04,0,1.11,false,false,english,,normal,false,false,false,,1785660840000
6a6e3526658c7ce391f51423,false,49.53,94.03,49.53,65.45,62;0;0;0,time,15,-1,0,15.02,0,0,false,false,english,,normal,false,false,false,,1785607462000
6a6da9d6658c7ce391f07a6d,false,59.96,98.72,62.36,69.23,75;1;0;0,time,15,-1,3,15.01,0,17.5,false,false,english,,normal,false,false,false,,1785571798000
6a6da85f658c7ce391f06fcb,false,50.37,95.77,55.96,62.64,63;2;0;1,time,15,-1,3,15.01,0,17.21,false,false,english,,normal,false,false,false,,1785571423000
6a6da838658c7ce391f06eb5,false,41.6,91.53,41.6,61.22,52;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1785571384000
6a6da827658c7ce391f06e40,false,39.97,96.77,49.57,65.94,50;2;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1785571367000
6a6da817658c7ce391f06dbe,false,43.17,94.92,43.17,45.69,54;0;0;0,time,15,-1,0,15.01,1,0,false,false,english,,normal,false,false,false,,1785571351000
6a6da806658c7ce391f06d5e,false,35.18,90.38,38.37,59.41,44;1;0;0,time,15,-1,1,15.01,0,1.05,false,false,english,,normal,false,false,false,,1785571334000
6a6da7f3658c7ce391f06cb9,false,45.57,91.04,52.76,64.5,57;4;1;0,time,15,-1,15,15.01,0,66.93,false,false,english,,normal,false,false,false,,1785571315000
6a6caa78658c7ce391e96169,false,50.3,95.97,52.6,59.42,503;5;2;2,time,120,-1,0,120.01,3,0,false,false,english,,normal,false,false,false,,1785506424000
6a6b41a7658c7ce391dd69aa,false,43.3,90.38,44.4,52.88,433;2;2;0,time,120,-1,34,120.01,0,168.47,false,false,english,,normal,false,false,false,,1785414055000
6a6b3efd658c7ce391dd4cd6,true,51.7,94.76,51.7,61.88,517;0;0;0,time,120,-1,0,120.01,0,0,false,false,english,,normal,false,false,false,,1785413373000
6a6b3e64658c7ce391dd45d5,true,47.49,96.02,48.29,57.72,475;2;1;0,time,120,-1,2,120.03,0,6.93,false,false,english,,normal,false,false,false,,1785413220000
6a6b398a658c7ce391dd1256,false,50.78,93.06,55.58,64.57,127;4;2;0,time,30,-1,4,30.01,0,36.37,false,false,english,,normal,false,false,false,,1785411978000
6a6b393f658c7ce391dd0f7b,true,52.4,97.14,54.8,66.2,131;1;1;0,time,30,-1,6,30,0,45.6,false,false,english,,normal,false,false,false,,1785411903000
6a6b38bd658c7ce391dd0a33,false,51.79,92.69,57.59,65.39,259;8;5;0,time,60,-1,16,60.01,0,104.16,false,false,english,,normal,false,false,false,,1785411773000
6a6b37c8658c7ce391dd00a4,true,51.99,95.89,57.19,64.33,260;5;4;0,time,60,-1,23,60.01,0,74.66,false,false,english,,normal,false,false,false,,1785411528000
6a6b348df3225bc5fd556a9d,false,63.72,92.45,63.72,77.25,48;0;0;0,words,10,-1,2,9.04,0,5.05,false,false,english,,normal,false,false,false,,1785410701000
6a6b347af3225bc5fd5569d4,false,62.37,97.87,62.37,75.04,46;0;0;0,words,10,-1,5,8.85,0,8.32,false,false,english,,normal,false,false,false,,1785410682000
6a6b345ff3225bc5fd5568cf,false,48.93,83.33,54.08,46.82,38;2;1;0,words,10,-1,1,9.32,0,1.83,false,false,english,,normal,false,false,false,,1785410655000
6a6b3451f3225bc5fd556823,false,52.47,93.88,64.57,66.91,39;1;1;0,words,10,-1,2,8.92,0,5.09,false,false,english,,normal,false,false,false,,1785410641000
6a6b343ef3225bc5fd556777,false,43.82,92.59,50.79,57.22,44;1;0;0,words,10,-1,5,12.05,1,19.13,false,false,english,,normal,false,false,false,,1785410622000
6a6b3413f3225bc5fd5565d4,true,71.27,95.12,78.97,73.16,37;2;1;0,words,10,-1,7,6.23,0,15.62,false,false,english,,normal,false,false,false,,1785410579000
6a6b33e9f3225bc5fd556441,false,57.6,97.44,61.6,68.3,72;1;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1785410537000
